indicador_id,indicador,unidad,criterio_desempate,posicion_ordenada,rango_con_empates,codigo,producto,producto_produccion_cero,apto_para_simulacion,estado_simulacion,valor
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,149,146,P089,"Equipo y aparatos de radio, televisión y comunicaciones",True,False,solo_completitud_algebraica,0.678089868348049
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,150,146,P150,Servicios domésticos,False,True,apto,0.678089868348049
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,151,146,P151,Compras directas en el exterior por residentes,True,False,solo_completitud_algebraica,0.678089868348049
encadenamiento_atras_normalizado,Encadenamiento hacia atrás normalizado,índice; media = 1,codigo_ascendente,152,146,P152,Compras directas en el territorio nacional por no residentes,True,False,solo_completitud_algebraica,0.678089868348049
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,1,1,P102,Servicios de comercio,False,True,apto,6.26869069696694
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,2,2,P054,Preparados para alimentación animal,False,True,apto,2.80489787222452
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,3,3,P095,"Generación y distribución de energía eléctrica, gas, vapor y aire acondicionado",False,True,apto,2.76035830937892
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,4,4,P119,"Otros servicios inmobiliarios, excepto alquiler de vivienda",False,True,apto,2.35911743198054
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,5,5,P105,Servicio de transporte de carga por vía terrestre,False,True,apto,2.23105606666983
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,6,6,P101,Servicios generales y especializados de construcción,False,True,apto,2.09422809271904
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,7,7,P071,"Abonos, fertilizantes y pesticidas",False,True,apto,1.99397581032245
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,8,8,P126,Servicios  de agencias de empleo y de dotación de recursos humanos,False,True,apto,1.9767485153842
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,9,9,P123,"Otros servicios profesionales, científicos y técnicos",False,True,apto,1.93929711550732
