codigo,producto,exportaciones_fob,consumo_hogares,consumo_isflsh,consumo_gobierno,formacion_bruta_capital_fijo,variacion_existencias,ajuste_cif_fob_publicado,ajuste_cif_fob_aplicado,total_componentes_no_solapados,total_demanda_final_fuente,ajuste_balance_produccion_utilizacion,demanda_final_balanceada
P115,Servicios de Intermediación Financiera Medidos Indirectamente (SIFMI),131.671668258195,9058.32166575995,0,0,0,0,0,-0,9189.99333401815,9189.99333401815,-2.0190782379359e-10,9189.99333401795
P116,"Servicios de seguro, reaseguro y fondos de pensiones",236.779837858047,1614.01522651942,0,0,0,0,0,-0,1850.79506437746,1850.79506437746,1.59161572810262e-11,1850.79506437748
P117,Servicios auxiliares de la intermediación financiera,2.120522,1954.83181877897,0,0,0,0,0,-0,1956.95234077897,1956.95234077897,2.72848410531878e-12,1956.95234077897
P118,Servicios de alquiler de vivienda,0,30462.7748683978,0,0,0,0,0,-0,30462.7748683978,30462.7748683978,-3.63797880709171e-12,30462.7748683978
P119,"Otros servicios inmobiliarios, excepto alquiler de vivienda",0,29.6872019086769,0,0,0,0,0,-0,29.6872019086769,29.6872019086768,0,29.687201908675
P120,"Servicios jurídicos, de contabilidad, auditoría, teneduría de libros y consultoría fiscal",8.86394942697256,153.286574440027,0,0,0,0,0,-0,162.150523867,162.150523867,6.85304257785901e-10,162.150523867685
P121,Servicios de tecnología de la información,317.314047420089,0,0,0,344.91096411466,0,0,-0,662.22501153475,662.225011534749,-1.45519152283669e-10,662.225011534604
P122,"Servicios de arquitectura e ingeniería, ensayos y análisis técnicos",9.315264114381,83.7548599840627,0,0,354.253434189628,0,0,-0,447.323558288072,447.323558288072,-9.09494701772928e-13,447.323558288071
P123,"Otros servicios profesionales, científicos y técnicos",227.099116289575,81.3534956988212,52.8163062626131,0,240.75053077723,0,0,-0,602.019449028239,602.019449028239,-0.0250000000251021,601.994449028218
P124,Servicios de publicidad y estudios de mercado,37.8361698055693,2.5608787659644,0,0,0,0,0,-0,40.3970485715337,40.3970485715345,1.36424205265939e-11,40.397048571549
P125,Servicios de arrendamiento o alquiler sin operador,121.028423234524,327.266690818806,0,0,0,0,0,-0,448.29511405333,448.29511405333,-3.79895936930552e-09,448.295114049531
P126,Servicios  de agencias de empleo y de dotación de recursos humanos,0,0,0,0,0,0,0,-0,0,0,0,1.81898940354586e-12
P127,"Servicios de agencias de viajes, operadores turísticos y actividades conexas",443.798532803681,218.35317330226,0,0,0,0,0,-0,662.151706105941,662.151706105941,-1.13686837721616e-13,662.151706105941
P128,"Servicios de seguridad, sistemas de seguridad e investigación privada",8.047698137,252.982644153006,0,0,0,0,0,-0,261.030342290006,261.030342290006,-9.09494701772928e-13,261.030342290007
P129,Servicios de limpieza,0,28.0932839224408,0,0,0,0,0,-0,28.0932839224408,28.0932839224408,1.13686837721616e-13,28.0932839224406
P130,Servicios telefónicos de centros de llamadas,1847.95444488644,0,0,0,0,0,0,-0,1847.95444488644,1847.95444488644,-6.00266503170133e-11,1847.95444488638
P131,"Servicios administrativos, de apoyo de oficina y otros servicios de apoyo a las empresas",117.760099093287,275.556956626579,0,0,0,0,0,-0,393.317055719866,393.317055719866,5.72981662116945e-11,393.317055719923
P132,"Servicios de mantenimiento, reparación e instalación de productos metálicos elaborados, maquinaria y equipo",105.466978248665,1.11322306581024,0,0,0,0,0,-0,106.580201314475,106.580201314475,-6.18456397205591e-11,106.580201314414
