codigo,producto,multiplicador_produccion_domestica,encadenamiento_atras_normalizado,encadenamiento_adelante_normalizado,coeficiente_importacion_directa,requerimiento_importacion_total,multiplicador_valor_agregado,multiplicador_empleo_puestos_por_millon
P088,"Maquinaria y aparatos eléctricos, sus partes y piezas",1.47144884394016,0.99777455286827,0.689942267679936,0.428786278059199,0.514121591245783,0.468343493849134,4.19576814651034
P089,"Equipo y aparatos de radio, televisión y comunicaciones",1,0.678089868348048,0.678089868348048,0,0,0,0
P090,"Aparatos médicos, instrumentos ópticos y de precisión, relojes",1.49811157172438,1.01585427844127,0.682383095609026,0.190006820150549,0.284613678400601,0.697081768463753,8.15563438797541
P091,Equipo de transporte,1.46917745092275,0.996234344276129,0.702855769270461,0.253599164223935,0.358787197542127,0.626724467524101,5.24212033518388
P092,Muebles,1.76913013864915,1.19962922280716,0.687594718836003,0.133499004445138,0.234738590570262,0.751280473986639,15.047405964314
P093,Otros artículos n.c.p.,1.42374012489872,0.965423753854403,0.836484055332223,0.189184899757854,0.276203943268411,0.709916085844518,8.65929496831555
P094,Residuos y desechos,1.22270517360746,0.829103990199956,0.98740737665544,0.0969736669665107,0.124118504610374,0.860796186195699,13.6514090119231
P095,"Generación y distribución de energía eléctrica, gas, vapor y aire acondicionado",1.30001521875469,0.881527148535825,2.76035830937891,0.202779065862871,0.233056989957119,0.757137871107353,2.57202960329776
P096,Agua natural y distribución de agua natural,1.43552165116684,0.973412687450495,1.17058541650628,0.077013567412735,0.1388272074238,0.845311952466349,12.6351601992538
P097,"Evacuación de aguas residuales, recogida, tratamiento y eliminación de desechos",1.25099861673268,0.848289487323855,0.735988205968992,0.142413787950032,0.172728779162321,0.807852621998818,17.8148339644506
P098,Edificaciones residenciales,1.60270999891624,1.08678141216521,0.678089868348048,0.0955712604975894,0.193670601029486,0.790004201795112,16.0388449707854
P099,Edificaciones no residenciales,1.71147851592574,1.1605362415446,0.678089868348048,0.158477763510872,0.269743330730327,0.710586968519238,10.1194802756562
P100,Obras de ingeniería civil,1.69435813854529,1.14892708710062,0.678089868348048,0.102955944753426,0.206723337240857,0.77222153574041,6.84320004293813
P101,Servicios generales y especializados de construcción,1.68873814775875,1.14511622828805,2.09422809271904,0.133818947481878,0.234380465994086,0.743965448504428,9.4382554515454
P102,Servicios de comercio,1.34485937290511,0.911935515119865,6.26869069696693,0.0347461506552005,0.0720640395044706,0.917315740528037,13.1389314243583
P103,Mantenimiento y reparación de vehículos automotores y motocicletas,1.27440289033316,0.864159688128383,1.28180574423171,0.115739281494925,0.151888835527998,0.833193714444126,12.852913529815
P104,Servicio de transporte de pasajeros por vía terrestre,1.31701041823992,0.893051421117317,0.730553670384321,0.253803806972404,0.287103064603448,0.688748438193122,11.2832502216556
